CROP YEARS,NUMBER of CONTRACTS,TOTAL COVERAGE,TOTAL PREMIUM,CLAIMS PAID,LOSS RATIO
2022-2023,365,90009757.9,3751855.76,2811152.33,0.75
2021-2022,357,79439275.04,3352165.32,637708.13,0.19
2020-2021,374,58731739.31,2964036,1716638.94,0.58
2019-2020,352,49942367.7,2132551.81,6309588.37,2.96
2018-2019,340,48276173.21,1713732.81,6519214.98,3.8
2017-2018,392,47957021.67,1868811.66,1858557.03,0.99
2016-2017,438,45798069.07,1937840.8,1381626.91,0.71
2015-2016,435,42609886.54,1872385.59,2064587.77,1.1
2014-2015,452,41979917.41,1901707.33,1649505.05,0.87
2013-2014,463,38020988.84,1848256.31,2361656.41,1.28
2012-2013,438,33018952.19,1858435.46,1283964.39,0.69
2011-2012,446,30958118.69,1541396.8,2410913,1.56
2010-2011,501,21661518.92,1453641.52,1517820.84,1.04
2009-2010,574,33352632.88,1793088.6,2654096.74,1.48
2008-2009,504,30332865.07,1445680.16,1620386.29,1.12
2007-2008,522,27188516.06,1233419.2,2030822.8,1.65
2006-2007,525,22466132.67,860560.79,1656030.07,1.92
2005-2006,526,16845536.59,790475.19,1107701.83,1.4
2004-2005,496,16161000.34,749438.21,486826.86,0.65
2003-2004,532,16193016.04,833525.55,827584.94,0.99
2002-2003,532,16347492.87,818650.8,364453.37,0.45
2001-2002,532,14805607.02,660808.39,914843.99,1.38
2000-2001,552,14310381.33,674353.56,284246.26,0.42
1999-2000,540,12136267.3,639559.88,797459.04,1.25
1998-1999,563,13583764.8,645583.16,933129.48,1.45
1997-1998,600,11842296.94,587480.8,772721.07,1.32
1996-1997,553,11181624.19,572589.79,466881.74,0.82
1995-1996,580,11321945.62,546030.04,326525.71,0.6
1994-1995,568,11164842.39,577366.31,535838.81,0.93
1993-1994,577,11409076.02,623830.52,927816.14,1.49
1992-1993,624,10904552.94,657657.87,200655.25,0.31
1991-1992,544,12184356.19,634945.12,1411800.88,2.22
1990-1991,568,10304249.4,574316.4,357824.57,0.62
1989-1990,604,10790684.96,545818.31,879678.97,1.61
1988-1989,532,10327601.34,536984.92,100853.06,0.19
1987-1988,597,10361043.62,537153.84,158436.63,0.29
1986-1987,730,10403518.12,498145.77,1391264.35,2.79
1985-1986,730,10270802.44,453493.02,503450.98,1.11
1984-1985,740,8842444.23,447720.9,132831.31,0.3
1983-1984,775,7103107.33,444870.21,442181.2,0.99
1982-1983,760,6618768.79,449727.96,123888.71,0.28
1981-1982,752,5854042.18,401609.14,219338.95,0.55
1980-1981,666,4228150.76,295329.1,196488.55,0.67
1979-1980,695,3994307.91,296406.94,300974.95,1.02
1978-1979,781,3730752.45,284334.24,131548.18,0.46
1977-1978,770,3381581.47,251407.28,253696.31,1.01
1976-1977,602,2751869.76,220219.1,90559.13,0.41
1975-1976,568,2274900.3,198451.73,169900.31,0.86
1974-1975,565,2030120.33,164694.03,232358.15,1.41
1973-1974,492,1762978.44,96519.82,252505.26,2.62
1972-1973,386,1553341.41,77955.05,78023.1,1
1971-1972,364,777955.53,32884.51,50406.29,1.53
1970-1971,345,823244.95,31954.54,35304.14,1.1
1969-1970,277,310831.53,15157.96,8043.41,0.53
